"station","NAME","LATITUDE","LONGITUDE"
"72051800449","FORT BRIDGER AIRPORT, WY US","41.39333","-110.40597"
"72051999999","POWELL MUNICIPAL, WY US","44.867161","-108.793428"
"72052100475","SHIVELY FIELD AIRPORT, WY US","41.44352","-106.82752"
"72052200443","DUBOIS MUNICIPAL AIRPORT, WY US","43.54836","-109.69025"
"72052803064","BUENA VISTA CENTRAL COLORADO REGIONAL AIRPORT, CO US","38.6975","-106.07"
"72052900429","HOPKINS FIELD AIRPORT, CO US","38.23875","-108.56327"
"72053100158","BLAKE FIELD AIRPORT, CO US","38.783","-108.067"
"72053200159","HARRIET ALEXANDER FIELD AIRPORT, CO US","38.533","-106.05"
"72053300160","BOULDER MUNICIPAL AIRPORT, CO US","40.033","-105.217"
"72053400161","ERIE MUNICIPAL AIRPORT, CO US","40.017","-105.05"
"72053500162","FORT MORGAN MUNICIPAL AIRPORT, CO US","40.333","-103.8"
"72053699999","GRANBY GRAND CO, CO US","40.089708","-105.917236"
"72053700163","HOLYOKE AIRPORT, CO US","40.567","-102.267"
"72053800164","VANCE BRAND AIRPORT, CO US","40.167","-105.167"
"72053900165","STEVENS FIELD AIRPORT, CO US","37.283","-107.05"
"72054153806","OXFORD UNIVERSITY, MS US","34.38333","-89.55"
"72054200166","LAGO VISTA RUSTY ALLEN AIRPORT, TX US","30.5","-97.967"
"72054300167","DE KALB CO AIRPORT, IN US","41.3","-85.067"
"72054400168","STERLING MUNICIPAL AIRPORT, CO US","40.617","-103.267"
"72054500169","CHESTER AIRPORT, CT US","41.384","-72.506"
"72054900171","CARSON AIRPORT, NV US","39.183","-119.733"
"72055199999","MINDEN TAHOE AIRPORT, NV US","39.000306","-119.751194"
"72055803977","ELK CITY MUNICIPAL AIRPORT, OK US","35.43333","-99.4"
"72055900172","STAN STAMPER MUNICIPAL AIRPORT, OK US","34.033","-95.533"
"72056100467","WILLIAM R POGUE MUNICIPAL AIRPORT, OK US","36.17527","-96.15183"
"72056599999","HEBER CITY MUNICIPAL AIRPORT, UT US","40.4818056","-111.428806"
"72056724180","BRIGHAM CITY AIRPORT, UT US","41.55222","-112.06222"
"72056899999","FILLMORE MUNICIPAL, UT US","38.9666666","-112.3666666"
"72056999999","KANAB MUNICIPAL, UT US","37.011105","-112.531194"
"72057299999","BOLINDER FIELD TOOELE VALLEY, UT US","40.612272","-112.350772"
"72057500173","INDIANAPOLIS EXECUTIVE AIRPORT, IN US","40.031","-86.251"
"72057600174","UNIVERSITY AIRPORT, CA US","38.533","-121.783"
"72057700175","RUSK CO AIRPORT, TX US","32.15","-94.85"
"72057800176","STEPHENS CO AIRPORT, TX US","32.717","-98.892"
"72057999999","LAJITAS INTERNATIONAL AIRPORT, TX US","29.277956","-103.687258"
"72058100178","LINDEN AIRPORT, NJ US","40.617","-74.25"
